惠普(HP)战66 六代 2023酷睿14英寸(英特尔13代i5-1340P 16G 1T长续航 高色域低功耗)高性能轻薄本电脑,4899.00,20万+,惠普京东自营官方旗舰店
荣耀笔记本电脑MagicBook X 16 Pro 2023 13代酷睿标压i5-13500H 16+1T 16吋高性能轻薄本 大电池 手机互联,4699.00,1万+,荣耀京东自营旗舰店
华硕无畏15 2023 13代酷睿i5标压 15.6英寸轻薄便携大屏高性能办公笔记本电脑(i5-13500H 16G 512G 护眼屏)银,4399.00,5万+,华硕京东自营官方旗舰店
惠普(HP)战66 14英寸(英特尔酷睿i5 16G 512G 长续航 高色域低功耗屏 1年上门)高性能轻薄本电脑,3999.00,20万+,惠普京东自营官方旗舰店
Apple MacBook Air 13.3 八核M1芯片(7核图形处理器) 8G 256G SSD 深空灰 笔记本电脑 MGN63CH/A,7999.00,20万+,Apple产品京东自营旗舰店
联想ThinkBook 14+ 2023款 英特尔酷睿i5 14英寸标压便携轻薄笔记本电脑i5-13500H 32G 512G 2.8K 90Hz,5999.00,10万+,ThinkPad京东自营旗舰店
联想 拯救者 15.6寸大屏Y7000/ R720高刷电竞屏吃鸡永劫设计游戏本二手笔记本电脑 95新 ②力荐i5-6代 独显GTX950-4G独显 标配8G内存+512G固态,1998.00,1万+,西南二手电脑专营店
惠普(HP)战66 15.6英寸(英特尔酷睿 i5 16G 512GB 长续航 高色域低功耗屏)高性能轻薄本电脑,4099.00,20万+,惠普京东自营官方旗舰店
荣耀笔记本MagicBook X 14 2022 14英寸全面屏轻薄笔记本电脑 （i5 8GB 512GB多屏协同）冰河银,2999.00,5万+,荣耀京东自营旗舰店
惠普(HP)战66六代锐龙版15.6英寸(2023锐龙R7-7730U 16G 512G长续航 高色域低蓝光屏)高性能轻薄本电脑,4499.00,20万+,惠普京东自营官方旗舰店
荣耀笔记本电脑MagicBook 14 2023 13代酷睿高性能轻薄本 标压i5-13500H 16G 512G 2.5K高刷屏 手机互联,4999.00,500+,荣耀京东自营旗舰店
AppleMacBookAir【教育优惠】13.3 8核M1芯片(7核图形处理器) 8G 256G SSD 银色 电脑 MGN93CH/A,7199.00,20万+,Apple产品京东自营旗舰店
机械师创物者X14 便携办公本创作本 14英寸游戏本 笔记本电脑 (i5-12450H RTX2050 16G 512G 100%sRGB),4999.00,13,机械师京东自营官方旗舰店
联想笔记本电脑小新Air15 英特尔酷睿i5 轻薄本(12核i5-1240P 16G 512G 100%sRGB高色域)银 商务办公手提电脑,4499.90,20万+,联想京东自营旗舰店
惠普HP 星14 Pro 14英寸轻薄笔记本电脑(12代i5-12500H标压2.8K 90Hz OLED材质高分高刷屏 硬件护眼)月光银,4599.00,2万+,惠普京东自营官方旗舰店
惠普(HP)战66 锐龙版14英寸(全新7nm锐龙R5-5625U 16G 512G 长续航 高色域低功耗屏)高性能轻薄本电脑,3699.00,20万+,惠普京东自营官方旗舰店
荣耀MagicBook 14 锐龙版 14英寸6核锐龙R5轻薄笔记本电脑 16G大内存 512G 冰河银 多屏协同 高色域,3299.00,5万+,荣耀京东自营旗舰店
华为笔记本电脑MateBook D 15 2022 12代酷睿版 15.6英寸 i5 16G 512G 护眼全面屏/轻薄本/手机互联 皓月银,4699.90,50万+,华为京东自营官方旗舰店
联想ThinkBook 16+ 2023款 13代酷睿i5英特尔Evo平台 16英寸标压轻薄笔记本i5-13500H 32G 512G SSD 2.5K,5999.00,5万+,ThinkPad京东自营旗舰店
华为笔记本电脑MateBook D 14 2022 12代酷睿版 i7 16G 512G 锐炬显卡/轻薄本/14英寸护眼全面屏/手机互联 银,5799.00,50万+,华为京东自营官方旗舰店
华硕灵耀14 2023旗舰版 14.5英寸13代英特尔标压Evo2.8K 120Hz OLED笔记本电脑(i9-13900H 32G 1T RTX3050)灰,9499.90,1000+,华硕京东自营官方旗舰店
联想笔记本电脑IdeaPad 15.6英寸轻薄本(锐龙8核 R7 16G 512G 全高清防眩光屏) 网课商务办公 预装正版win,3499.00,10万+,联想京东自营旗舰店
得力(deli)12本A5/30张无线装订软抄本 记事本/ 工作笔记本子/ 日记本 文具办公用品 7650,16.50,50万+,得力京东自营官方旗舰店
小米笔记本电脑 红米 Redmi Book Pro15 3.2K高色域屏 商务办公 高清屏轻薄本(R7-6800H 16G 512G 带摄像头),4799.00,20万+,小米京东自营旗舰店
【酷睿i9+独立显卡GTX1650】新品16.1英寸八核高性能游戏本iru笔记本电脑轻薄款办公电竞本 酷睿i7-10870H + 4G独显GTX1650 16G内存+1024G高速固态,5698.80,500+,iru旗舰店
荣耀笔记本电脑MagicBook 14 2023 13代酷睿高性能轻薄本 标压i5-13500H 16G 1TB 2.5K高刷屏 手机互联,5499.00,500+,荣耀京东自营旗舰店
ThinkPad 联想ThinkBook 16+ 13代英特尔Evo酷睿标压处理器 轻薄笔记本电脑 i7-13700H 32G 512G 集显0BCD,7299.00,2000+,ThinkBook京东自营旗舰店
广博(GuangBo)A5笔记本子办公会议本记事本学生日记本软抄本 40张10本装颜色随机 GBR0790,13.90,50万+,广博京东自营官方旗舰店
华为笔记本电脑MateBook D 14 SE版 14英寸 11代酷睿i5 16G 512G 轻薄本/护眼全面屏/手机互联 皓月银,3999.00,50万+,华为京东自营官方旗舰店
联想ThinkBook 14+ 2023款 英特尔酷睿i7 14英寸标压便携轻薄笔记本电脑i7-13700H 32G 512G 2.8K 90Hz,6999.00,10万+,ThinkPad京东自营旗舰店
荣耀笔记本电脑MagicBook 14 英特尔酷睿高性能游戏轻薄本标压 i5-12500H 16G 512G RTX2050独显 长续航 灰,4999.00,2万+,荣耀京东自营旗舰店
华为笔记本电脑MateBook D 14 SE版 14英寸 11代酷睿 i5 8G+512G 轻薄本/高清护眼防眩光屏/手机互联 银,3399.00,50万+,华为京东自营官方旗舰店
华为笔记本电脑MateBook D 14 2022款 14英寸 11代酷睿 i5 16G+512G 轻薄本/护眼全面屏/手机互联 银,4099.00,50万+,华为京东自营官方旗舰店
机械革命（MECHREVO）极光Pro 15.6英寸游戏本 笔记本电脑(i7-12650H 16G 512G RTX4060 165HZ 2.5K屏),6488.00,10万+,机械革命京东自营官方旗舰店
联想笔记本电脑小新Pro16 英特尔Evo平台 高性能游戏轻薄本(14核标压i9-12900H 16G 512G 2.5K 120Hz)银 办公,5999.00,20万+,联想京东自营旗舰店
机械革命（MECHREVO）蛟龙16K 16英寸游戏电竞笔记本电脑（R7-7735H 16G 512G RTX4060 165HZ 2.5K）,6499.00,2万+,机械革命京东自营官方旗舰店
